Id_SNVeg,n_total,mes,escala,n,parque
AlpConF,47119,1,1,8,aiguestortes
AlpConF,47119,1,12,516,aiguestortes
AlpConF,47119,1,3,702,aiguestortes
AlpConF,47119,1,6,2037,aiguestortes
AlpConF,47119,1,9,2010,aiguestortes
AlpScrGr,90179,1,1,10,aiguestortes
AlpScrGr,90179,1,12,99,aiguestortes
AlpScrGr,90179,1,3,262,aiguestortes
AlpScrGr,90179,1,6,410,aiguestortes
AlpScrGr,90179,1,9,401,aiguestortes
Grass,649,1,1,0,aiguestortes
Grass,649,1,12,2,aiguestortes
Grass,649,1,3,50,aiguestortes
Grass,649,1,6,66,aiguestortes
Grass,649,1,9,18,aiguestortes
HydroRipVeg,599,1,1,0,aiguestortes
HydroRipVeg,599,1,12,1,aiguestortes
HydroRipVeg,599,1,3,2,aiguestortes
HydroRipVeg,599,1,6,4,aiguestortes
HydroRipVeg,599,1,9,5,aiguestortes
RipF,223,1,1,0,aiguestortes
RipF,223,1,12,0,aiguestortes
RipF,223,1,3,8,aiguestortes
RipF,223,1,6,39,aiguestortes
RipF,223,1,9,3,aiguestortes
RockScreeVeg,60305,1,1,4,aiguestortes
RockScreeVeg,60305,1,12,35,aiguestortes
RockScreeVeg,60305,1,3,29,aiguestortes
RockScreeVeg,60305,1,6,81,aiguestortes
RockScreeVeg,60305,1,9,101,aiguestortes
Shrub,528,1,1,0,aiguestortes
Shrub,528,1,12,1,aiguestortes
Shrub,528,1,3,13,aiguestortes
Shrub,528,1,6,63,aiguestortes
Shrub,528,1,9,8,aiguestortes
TempDecF,913,1,1,1,aiguestortes
TempDecF,913,1,12,2,aiguestortes
TempDecF,913,1,3,11,aiguestortes
TempDecF,913,1,6,23,aiguestortes
TempDecF,913,1,9,8,aiguestortes
WaterSurf,4432,1,1,0,aiguestortes
WaterSurf,4432,1,12,3,aiguestortes
WaterSurf,4432,1,3,0,aiguestortes
WaterSurf,4432,1,6,2,aiguestortes
WaterSurf,4432,1,9,5,aiguestortes
AlpConF,47129,2,1,316,aiguestortes
AlpConF,47129,2,12,36,aiguestortes
AlpConF,47129,2,3,454,aiguestortes
AlpConF,47129,2,6,199,aiguestortes
AlpConF,47129,2,9,237,aiguestortes
AlpScrGr,90472,2,1,160,aiguestortes
AlpScrGr,90472,2,12,10,aiguestortes
AlpScrGr,90472,2,3,237,aiguestortes
AlpScrGr,90472,2,6,19,aiguestortes
AlpScrGr,90472,2,9,51,aiguestortes
Grass,647,2,1,11,aiguestortes
Grass,647,2,12,1,aiguestortes
Grass,647,2,3,7,aiguestortes
Grass,647,2,6,1,aiguestortes
Grass,647,2,9,1,aiguestortes
HydroRipVeg,599,2,1,2,aiguestortes
HydroRipVeg,599,2,12,0,aiguestortes
HydroRipVeg,599,2,3,0,aiguestortes
HydroRipVeg,599,2,6,0,aiguestortes
HydroRipVeg,599,2,9,0,aiguestortes
RipF,223,2,1,0,aiguestortes
RipF,223,2,12,0,aiguestortes
RipF,223,2,3,0,aiguestortes
RipF,223,2,6,1,aiguestortes
RipF,223,2,9,0,aiguestortes
RockScreeVeg,60535,2,1,172,aiguestortes
RockScreeVeg,60535,2,12,0,aiguestortes
RockScreeVeg,60535,2,3,159,aiguestortes
RockScreeVeg,60535,2,6,17,aiguestortes
RockScreeVeg,60535,2,9,27,aiguestortes
Shrub,528,2,1,46,aiguestortes
Shrub,528,2,12,1,aiguestortes
Shrub,528,2,3,37,aiguestortes
Shrub,528,2,6,23,aiguestortes
Shrub,528,2,9,23,aiguestortes
TempDecF,913,2,1,22,aiguestortes
TempDecF,913,2,12,1,aiguestortes
TempDecF,913,2,3,105,aiguestortes
TempDecF,913,2,6,3,aiguestortes
TempDecF,913,2,9,9,aiguestortes
WaterSurf,4432,2,1,0,aiguestortes
WaterSurf,4432,2,12,0,aiguestortes
WaterSurf,4432,2,3,1,aiguestortes
WaterSurf,4432,2,6,0,aiguestortes
WaterSurf,4432,2,9,0,aiguestortes
AlpConF,47131,3,1,92,aiguestortes
AlpConF,47131,3,12,866,aiguestortes
AlpConF,47131,3,3,665,aiguestortes
AlpConF,47131,3,6,681,aiguestortes
AlpConF,47131,3,9,2501,aiguestortes
AlpScrGr,90046,3,1,70,aiguestortes
AlpScrGr,90046,3,12,691,aiguestortes
AlpScrGr,90046,3,3,354,aiguestortes
AlpScrGr,90046,3,6,91,aiguestortes
AlpScrGr,90046,3,9,477,aiguestortes
Grass,650,3,1,0,aiguestortes
Grass,650,3,12,14,aiguestortes
Grass,650,3,3,20,aiguestortes
Grass,650,3,6,24,aiguestortes
Grass,650,3,9,1,aiguestortes
HydroRipVeg,599,3,1,0,aiguestortes
HydroRipVeg,599,3,12,0,aiguestortes
HydroRipVeg,599,3,3,9,aiguestortes
HydroRipVeg,599,3,6,2,aiguestortes
HydroRipVeg,599,3,9,2,aiguestortes
RipF,223,3,1,0,aiguestortes
RipF,223,3,12,0,aiguestortes
RipF,223,3,3,0,aiguestortes
RipF,223,3,6,0,aiguestortes
RipF,223,3,9,0,aiguestortes
RockScreeVeg,59792,3,1,41,aiguestortes
RockScreeVeg,59792,3,12,121,aiguestortes
RockScreeVeg,59792,3,3,114,aiguestortes
RockScreeVeg,59792,3,6,22,aiguestortes
RockScreeVeg,59792,3,9,208,aiguestortes
Shrub,528,3,1,0,aiguestortes
Shrub,528,3,12,13,aiguestortes
Shrub,528,3,3,34,aiguestortes
Shrub,528,3,6,39,aiguestortes
Shrub,528,3,9,16,aiguestortes
TempDecF,913,3,1,0,aiguestortes
TempDecF,913,3,12,37,aiguestortes
TempDecF,913,3,3,97,aiguestortes
TempDecF,913,3,6,32,aiguestortes
TempDecF,913,3,9,38,aiguestortes
WaterSurf,4426,3,1,4,aiguestortes
WaterSurf,4426,3,12,33,aiguestortes
WaterSurf,4426,3,3,8,aiguestortes
WaterSurf,4426,3,6,4,aiguestortes
